Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
14198,2025-07-16 00:00:54.147665,2025-07-16 00:01:14.245951,0.33,0,1,1,1,0
14199,2025-07-16 00:02:14.678149,2025-07-16 00:02:15.139963,0.01,0,0,0,0,0
14200,2025-07-16 00:03:15.565078,2025-07-16 00:03:16.033770,0.01,0,0,0,0,0
14201,2025-07-16 00:04:16.458651,2025-07-16 00:04:16.920135,0.01,0,0,0,0,0
14202,2025-07-16 00:05:17.343771,2025-07-16 00:05:17.802321,0.01,0,0,0,0,0
14203,2025-07-16 00:06:18.226741,2025-07-16 00:06:18.689684,0.01,0,0,0,0,0
14204,2025-07-16 00:07:19.116067,2025-07-16 00:07:19.576486,0.01,0,0,0,0,0
14205,2025-07-16 00:08:20.003952,2025-07-16 00:08:20.465952,0.01,0,0,0,0,0
14206,2025-07-16 00:09:20.922208,2025-07-16 00:09:21.382557,0.01,0,0,0,0,0
14207,2025-07-16 00:10:21.805729,2025-07-16 00:10:22.270033,0.01,0,0,0,0,0
14208,2025-07-16 00:11:22.690836,2025-07-16 00:11:23.162067,0.01,0,0,0,0,0
14209,2025-07-16 00:12:23.581513,2025-07-16 00:12:24.035108,0.01,0,0,0,0,0
14210,2025-07-16 00:13:24.454968,2025-07-16 00:13:24.908322,0.01,0,0,0,0,0
14211,2025-07-16 00:14:25.337038,2025-07-16 00:14:25.904301,0.01,0,1,1,1,0
14212,2025-07-16 00:15:26.327745,2025-07-16 00:15:26.894054,0.01,0,1,1,1,0
14213,2025-07-16 00:16:27.319083,2025-07-16 00:16:27.897603,0.01,0,1,1,1,0
14214,2025-07-16 00:17:28.375761,2025-07-16 00:17:29.095061,0.01,0,1,1,1,0
14215,2025-07-16 00:18:29.515625,2025-07-16 00:18:30.230121,0.01,0,1,1,1,0
14216,2025-07-16 00:19:30.659463,2025-07-16 00:19:31.376493,0.01,0,1,1,1,0
14217,2025-07-16 00:20:31.802785,2025-07-16 00:20:32.499699,0.01,0,1,1,1,0
14218,2025-07-16 00:21:32.936635,2025-07-16 00:21:33.655246,0.01,0,1,1,1,0
14219,2025-07-16 00:22:34.082264,2025-07-16 00:22:34.804012,0.01,0,1,1,1,0
14220,2025-07-16 00:23:35.233449,2025-07-16 00:23:35.944977,0.01,0,1,1,1,0
14221,2025-07-16 00:24:36.370896,2025-07-16 00:24:37.096990,0.01,0,1,1,1,0
14222,2025-07-16 00:25:37.558278,2025-07-16 00:25:38.257740,0.01,0,1,1,1,0
14223,2025-07-16 00:26:38.746204,2025-07-16 00:26:39.441966,0.01,0,1,1,1,0
14224,2025-07-16 00:27:39.866614,2025-07-16 00:27:40.557033,0.01,0,1,1,1,0
14225,2025-07-16 00:28:40.981244,2025-07-16 00:28:41.664872,0.01,0,1,1,1,0
14226,2025-07-16 00:29:42.101447,2025-07-16 00:29:42.845302,0.01,0,1,1,1,0
14227,2025-07-16 00:30:43.274936,2025-07-16 00:30:44.000728,0.01,0,1,1,1,0
